Series;Time;Value
block1;2016-01-01T21:00:00.000Z;30.58779703703704
block1;2016-01-02T19:30:00.000Z;38.86653283950615
block1;2016-01-03T18:00:00.000Z;35.50147629629628
block1;2016-01-04T16:30:00.000Z;34.45262493827162
block1;2016-01-05T15:00:00.000Z;39.700328518518496
block1;2016-01-06T13:30:00.000Z;41.251267654321005
block1;2016-01-07T12:00:00.000Z;202.8726369135806
block1;2016-01-08T10:30:00.000Z;44.347296419753015
block1;2016-01-09T09:00:00.000Z;41.518059753086455
block1;2016-01-10T07:30:00.000Z;35.6889666666667
block1;2016-01-11T06:00:00.000Z;32.370390666666644
block1;2016-01-12T04:30:00.000Z;35.59388222222223
block1;2016-01-13T03:00:00.000Z;34.90853123456792
block1;2016-01-14T01:30:00.000Z;35.50650320987657
block1;2016-01-15T00:00:00.000Z;36.28542938271603
block1;2016-01-15T22:30:00.000Z;36.9023351851852
block1;2016-01-16T21:00:00.000Z;35.524047901234574
block1;2016-01-17T19:30:00.000Z;35.61108691358025
block1;2016-01-18T18:00:00.000Z;35.631022962962945
block1;2016-01-19T16:30:00.000Z;35.70523629629629
block1;2016-01-20T15:00:00.000Z;36.337659259259254
block1;2016-01-21T13:30:00.000Z;41.02325432098771
block1;2016-01-22T12:00:00.000Z;44.023989135802566
block1;2016-01-23T10:30:00.000Z;43.99998839506171
block1;2016-01-24T09:00:00.000Z;39.8361983950617
block1;2016-01-25T07:30:00.000Z;37.65323888888888
block1;2016-01-26T06:00:00.000Z;42.374707037036956
block1;2016-01-27T04:30:00.000Z;44.326571358024815
block1;2016-01-28T03:00:00.000Z;45.97443925925925
block1;2016-01-29T01:30:00.000Z;45.75423975308643
block1;2016-01-30T00:00:00.000Z;52.44110037037043
block1;2016-01-30T22:30:00.000Z;52.446331728394995
block1;2016-01-31T21:00:00.000Z;52.439081629629605
block1;2016-02-01T19:30:00.000Z;52.45065283950617
block1;2016-02-02T18:00:00.000Z;52.423036666666675
block1;2016-02-03T16:30:00.000Z;52.410436666666676
block1;2016-02-04T15:00:00.000Z;52.423615432098806
block1;2016-02-05T13:30:00.000Z;52.44644088888893
block1;2016-02-06T12:00:00.000Z;48.51599617283952
block1;2016-02-07T10:30:00.000Z;40.62571716049377
block1;2016-02-08T09:00:00.000Z;38.84006567901235
block1;2016-02-09T07:30:00.000Z;42.1755509876544
block1;2016-02-10T06:00:00.000Z;44.32748679012355
block1;2016-02-11T04:30:00.000Z;61.36875024691362
block1;2016-02-12T03:00:00.000Z;98.02506639506166
block1;2016-02-13T01:30:00.000Z;79.28625790123466
block1;2016-02-14T00:00:00.000Z;44.31569432098762
block1;2016-02-14T22:30:00.000Z;44.318617407407345
block1;2016-02-15T21:00:00.000Z;44.32000444444443
block1;2016-02-16T19:30:00.000Z;44.32444259259265
block1;2016-02-17T18:00:00.000Z;44.32565518518511
block1;2016-02-18T16:30:00.000Z;81.83708851851853
block1;2016-02-19T15:00:00.000Z;52.62457617283954
block1;2016-02-20T13:30:00.000Z;44.33842148148139
block1;2016-02-21T12:00:00.000Z;66.14107634567901
block1;2016-02-22T10:30:00.000Z;46.84309395061733
block1;2016-02-23T09:00:00.000Z;47.303673580246894
block1;2016-02-24T07:30:00.000Z;28.61372901234567
block1;2016-02-25T06:00:00.000Z;0
block1;2016-02-26T04:30:00.000Z;0
block1;2016-02-27T03:00:00.000Z;0
block1;2016-02-28T01:30:00.000Z;0
block1;2016-02-29T00:00:00.000Z;0
block1;2016-02-29T22:30:00.000Z;0
block1;2016-03-01T21:00:00.000Z;0
block1;2016-03-02T19:30:00.000Z;0
block1;2016-03-03T18:00:00.000Z;0
block1;2016-03-04T16:30:00.000Z;0
block1;2016-03-05T15:00:00.000Z;0
block1;2016-03-06T13:30:00.000Z;0
block1;2016-03-07T12:00:00.000Z;0
block1;2016-03-08T10:30:00.000Z;0
block1;2016-03-09T09:00:00.000Z;0
block1;2016-03-10T07:30:00.000Z;0
block1;2016-03-11T06:00:00.000Z;0
block1;2016-03-12T04:30:00.000Z;0
block1;2016-03-13T03:00:00.000Z;0
block1;2016-03-14T01:30:00.000Z;0
block1;2016-03-15T00:00:00.000Z;0
block1;2016-03-15T22:30:00.000Z;0
block1;2016-03-16T21:00:00.000Z;0
block1;2016-03-17T19:30:00.000Z;0
block1;2016-03-18T18:00:00.000Z;0
block1;2016-03-19T16:30:00.000Z;0
block1;2016-03-20T15:00:00.000Z;0
block1;2016-03-21T13:30:00.000Z;0
block1;2016-03-22T12:00:00.000Z;0
block1;2016-03-23T10:30:00.000Z;0
block1;2016-03-24T09:00:00.000Z;0
block1;2016-03-25T07:30:00.000Z;0
block1;2016-03-26T06:00:00.000Z;0
block1;2016-03-27T04:30:00.000Z;0
block1;2016-03-28T03:00:00.000Z;0
block1;2016-03-29T01:30:00.000Z;0
block1;2016-03-30T00:00:00.000Z;0
block1;2016-03-30T22:30:00.000Z;0
block1;2016-03-31T21:00:00.000Z;0
block1;2016-04-01T19:30:00.000Z;0
block1;2016-04-02T18:00:00.000Z;0
block1;2016-04-03T16:30:00.000Z;0
block1;2016-04-04T15:00:00.000Z;0
block1;2016-04-05T13:30:00.000Z;0
block1;2016-04-06T12:00:00.000Z;0
block1;2016-04-07T10:30:00.000Z;0
block1;2016-04-08T09:00:00.000Z;0
block1;2016-04-09T07:30:00.000Z;0
block1;2016-04-10T06:00:00.000Z;0
block1;2016-04-11T04:30:00.000Z;0
block1;2016-04-12T03:00:00.000Z;0
block1;2016-04-13T01:30:00.000Z;0
block1;2016-04-14T00:00:00.000Z;0
block1;2016-04-14T22:30:00.000Z;0
block1;2016-04-15T21:00:00.000Z;0
block1;2016-04-16T19:30:00.000Z;0
block1;2016-04-17T18:00:00.000Z;0
block1;2016-04-18T16:30:00.000Z;0
block1;2016-04-19T15:00:00.000Z;0
block1;2016-04-20T13:30:00.000Z;0
block1;2016-04-21T12:00:00.000Z;0
block1;2016-04-22T10:30:00.000Z;0
block1;2016-04-23T09:00:00.000Z;0
block1;2016-04-24T07:30:00.000Z;0
block1;2016-04-25T06:00:00.000Z;0
block1;2016-04-26T04:30:00.000Z;0
block1;2016-04-27T03:00:00.000Z;0
block1;2016-04-28T01:30:00.000Z;0
block1;2016-04-29T00:00:00.000Z;0
block1;2016-04-29T22:30:00.000Z;0
block1;2016-04-30T21:00:00.000Z;0
block1;2016-05-01T19:30:00.000Z;0
block1;2016-05-02T18:00:00.000Z;0
block1;2016-05-03T16:30:00.000Z;0
block1;2016-05-04T15:00:00.000Z;0
block1;2016-05-05T13:30:00.000Z;0
block1;2016-05-06T12:00:00.000Z;0
block1;2016-05-07T10:30:00.000Z;0
block1;2016-05-08T09:00:00.000Z;0
block1;2016-05-09T07:30:00.000Z;0
block1;2016-05-10T06:00:00.000Z;0
block1;2016-05-11T04:30:00.000Z;0
block1;2016-05-12T03:00:00.000Z;0
block1;2016-05-13T01:30:00.000Z;0
block1;2016-05-14T00:00:00.000Z;0
block1;2016-05-14T22:30:00.000Z;0
block1;2016-05-15T21:00:00.000Z;0
block1;2016-05-16T19:30:00.000Z;0
block1;2016-05-17T18:00:00.000Z;0
block1;2016-05-18T16:30:00.000Z;0
block1;2016-05-19T15:00:00.000Z;0
block1;2016-05-20T13:30:00.000Z;0
block1;2016-05-21T12:00:00.000Z;0
block1;2016-05-22T10:30:00.000Z;0
block1;2016-05-23T09:00:00.000Z;0
block1;2016-05-24T07:30:00.000Z;0
block1;2016-05-25T06:00:00.000Z;0
block1;2016-05-26T04:30:00.000Z;0
block1;2016-05-27T03:00:00.000Z;0
block1;2016-05-28T01:30:00.000Z;0
block1;2016-05-29T00:00:00.000Z;0
block1;2016-05-29T22:30:00.000Z;0
block1;2016-05-30T21:00:00.000Z;0
block1;2016-05-31T19:30:00.000Z;0
block1;2016-06-01T18:00:00.000Z;0
block1;2016-06-02T16:30:00.000Z;0
block1;2016-06-03T15:00:00.000Z;0
block1;2016-06-04T13:30:00.000Z;0
block1;2016-06-05T12:00:00.000Z;0
block1;2016-06-06T10:30:00.000Z;0
block1;2016-06-07T09:00:00.000Z;0
block1;2016-06-08T07:30:00.000Z;0
block1;2016-06-09T06:00:00.000Z;0
block1;2016-06-10T04:30:00.000Z;0
block1;2016-06-11T03:00:00.000Z;0
block1;2016-06-12T01:30:00.000Z;0
block1;2016-06-13T00:00:00.000Z;0
block1;2016-06-13T22:30:00.000Z;0
