Series;Time;Value
Fee per byte;2016-01-01T16:00:00.000Z;32.45515355651381
Fee per byte;2016-01-02T14:40:00.000Z;31.820685679946163
Fee per byte;2016-01-03T13:20:00.000Z;28.426152190969816
Fee per byte;2016-01-04T12:00:00.000Z;33.85884913453869
Fee per byte;2016-01-05T10:40:00.000Z;30.04007724702603
Fee per byte;2016-01-06T09:20:00.000Z;33.6263872131505
Fee per byte;2016-01-07T08:00:00.000Z;34.595379984262806
Fee per byte;2016-01-08T06:40:00.000Z;27.584532451910167
Fee per byte;2016-01-09T05:20:00.000Z;32.52959765638714
Fee per byte;2016-01-10T04:00:00.000Z;30.676493644926474
Fee per byte;2016-01-11T02:40:00.000Z;32.74226459479593
Fee per byte;2016-01-12T01:20:00.000Z;35.17322088596281
Fee per byte;2016-01-13T00:00:00.000Z;34.89963826102396
Fee per byte;2016-01-13T22:40:00.000Z;32.94742427511004
Fee per byte;2016-01-14T21:20:00.000Z;35.279517468814284
Fee per byte;2016-01-15T20:00:00.000Z;34.79317582315396
Fee per byte;2016-01-16T18:40:00.000Z;32.83306878646944
Fee per byte;2016-01-17T17:20:00.000Z;30.361611632149476
Fee per byte;2016-01-18T16:00:00.000Z;35.89305907297318
Fee per byte;2016-01-19T14:40:00.000Z;35.30162345749299
Fee per byte;2016-01-20T13:20:00.000Z;36.32500100599217
Fee per byte;2016-01-21T12:00:00.000Z;43.57253548100779
Fee per byte;2016-01-22T10:40:00.000Z;40.92320417575488
Fee per byte;2016-01-23T09:20:00.000Z;37.71172048402945
Fee per byte;2016-01-24T08:00:00.000Z;29.60294577888814
Fee per byte;2016-01-25T06:40:00.000Z;40.407972342175746
Fee per byte;2016-01-26T05:20:00.000Z;38.20108419200209
Fee per byte;2016-01-27T04:00:00.000Z;41.034841489701975
Fee per byte;2016-01-28T02:40:00.000Z;36.7275408411548
Fee per byte;2016-01-29T01:20:00.000Z;33.49998452947286
Fee per byte;2016-01-30T00:00:00.000Z;37.857643352396785
Fee per byte;2016-01-30T22:40:00.000Z;31.896099118015446
Fee per byte;2016-01-31T21:20:00.000Z;39.7779364501466
Fee per byte;2016-02-01T20:00:00.000Z;40.748537088950414
Fee per byte;2016-02-02T18:40:00.000Z;41.462768421082146
Fee per byte;2016-02-03T17:20:00.000Z;36.46751398465448
Fee per byte;2016-02-04T16:00:00.000Z;38.495407077205094
Fee per byte;2016-02-05T14:40:00.000Z;29.4332963815999
Fee per byte;2016-02-06T13:20:00.000Z;33.58744357782385
Fee per byte;2016-02-07T12:00:00.000Z;31.817266810917705
Fee per byte;2016-02-08T10:40:00.000Z;35.79894725695828
Fee per byte;2016-02-09T09:20:00.000Z;36.05444930979786
Fee per byte;2016-02-10T08:00:00.000Z;33.60976508276224
Fee per byte;2016-02-11T06:40:00.000Z;37.28511309086564
Fee per byte;2016-02-12T05:20:00.000Z;32.648278931487155
Fee per byte;2016-02-13T04:00:00.000Z;34.79819934729638
Fee per byte;2016-02-14T02:40:00.000Z;31.190947629117886
Fee per byte;2016-02-15T01:20:00.000Z;36.73954763315546
Fee per byte;2016-02-16T00:00:00.000Z;34.875012790355534
Fee per byte;2016-02-16T22:40:00.000Z;38.70602245651202
Fee per byte;2016-02-17T21:20:00.000Z;37.74023900933557
Fee per byte;2016-02-18T20:00:00.000Z;36.83052214072258
Fee per byte;2016-02-19T18:40:00.000Z;34.45160165456619
Fee per byte;2016-02-20T17:20:00.000Z;32.80767402721531
Fee per byte;2016-02-21T16:00:00.000Z;39.39473929156216
Fee per byte;2016-02-22T14:40:00.000Z;34.05004127417585
Fee per byte;2016-02-23T13:20:00.000Z;41.522932032767365
Fee per byte;2016-02-24T12:00:00.000Z;28.52734824223011
Fee per byte;2016-02-25T10:40:00.000Z;41.33457066135916
Fee per byte;2016-02-26T09:20:00.000Z;41.13198519981026
Fee per byte;2016-02-27T08:00:00.000Z;32.23887396895933
Fee per byte;2016-02-28T06:40:00.000Z;40.2660722260669
Fee per byte;2016-02-29T05:20:00.000Z;44.18324344175124
Fee per byte;2016-03-01T04:00:00.000Z;48.73701827770854
Fee per byte;2016-03-02T02:40:00.000Z;70.80417059502118
Fee per byte;2016-03-03T01:20:00.000Z;47.489435225372816
Fee per byte;2016-03-04T00:00:00.000Z;48.87044159702185
Fee per byte;2016-03-04T22:40:00.000Z;47.7920051537675
Fee per byte;2016-03-05T21:20:00.000Z;47.39665468441798
Fee per byte;2016-03-06T20:00:00.000Z;48.48274333850818
Fee per byte;2016-03-07T18:40:00.000Z;43.218476114009775
Fee per byte;2016-03-08T17:20:00.000Z;46.18204997515987
Fee per byte;2016-03-09T16:00:00.000Z;44.30396716309793
Fee per byte;2016-03-10T14:40:00.000Z;44.27519249041871
Fee per byte;2016-03-11T13:20:00.000Z;39.503864113165875
Fee per byte;2016-03-12T12:00:00.000Z;39.41882988108631
Fee per byte;2016-03-13T10:40:00.000Z;47.42066727487992
Fee per byte;2016-03-14T09:20:00.000Z;35.08235602260793
Fee per byte;2016-03-15T08:00:00.000Z;44.966909784444226
Fee per byte;2016-03-16T06:40:00.000Z;44.86977248288556
Fee per byte;2016-03-17T05:20:00.000Z;40.382282889388506
Fee per byte;2016-03-18T04:00:00.000Z;41.49617228515809
Fee per byte;2016-03-19T02:40:00.000Z;42.09341707566121
Fee per byte;2016-03-20T01:20:00.000Z;31.37418154645728
Fee per byte;2016-03-21T00:00:00.000Z;37.15096054087881
Fee per byte;2016-03-21T22:40:00.000Z;34.15499021924723
Fee per byte;2016-03-22T21:20:00.000Z;43.11705167133806
Fee per byte;2016-03-23T20:00:00.000Z;41.118222307598145
Fee per byte;2016-03-24T18:40:00.000Z;40.89851047572216
Fee per byte;2016-03-25T17:20:00.000Z;29.381686162394637
Fee per byte;2016-03-26T16:00:00.000Z;39.84801563574325
Fee per byte;2016-03-27T14:40:00.000Z;39.68033133638589
Fee per byte;2016-03-28T13:20:00.000Z;35.01910285057585
Fee per byte;2016-03-29T12:00:00.000Z;45.63758712748956
Fee per byte;2016-03-30T10:40:00.000Z;45.824125987120695
Fee per byte;2016-03-31T09:20:00.000Z;46.09997289803232
Fee per byte;2016-04-01T08:00:00.000Z;41.91888737209602
Fee per byte;2016-04-02T06:40:00.000Z;46.826716864612365
Fee per byte;2016-04-03T05:20:00.000Z;42.584308397763095
Fee per byte;2016-04-04T04:00:00.000Z;38.27672440095978
Fee per byte;2016-04-05T02:40:00.000Z;44.40627716115956
Fee per byte;2016-04-06T01:20:00.000Z;58.55154975495208
Fee per byte;2016-04-07T00:00:00.000Z;44.46900388643768
Fee per byte;2016-04-07T22:40:00.000Z;40.13724678235833
Fee per byte;2016-04-08T21:20:00.000Z;38.96945118575335
Fee per byte;2016-04-09T20:00:00.000Z;37.75689294690899
Fee per byte;2016-04-10T18:40:00.000Z;40.79232985634498
Fee per byte;2016-04-11T17:20:00.000Z;41.7313739313599
Fee per byte;2016-04-12T16:00:00.000Z;38.3654158141246
Fee per byte;2016-04-13T14:40:00.000Z;38.65741464220449
Fee per byte;2016-04-14T13:20:00.000Z;41.28386530671436
Fee per byte;2016-04-15T12:00:00.000Z;40.819962535614856
Fee per byte;2016-04-16T10:40:00.000Z;36.686148449592906
Fee per byte;2016-04-17T09:20:00.000Z;36.44487418758548
Fee per byte;2016-04-18T08:00:00.000Z;41.26549301281841
Fee per byte;2016-04-19T06:40:00.000Z;39.90631127395972
Fee per byte;2016-04-20T05:20:00.000Z;39.78011373140285
Fee per byte;2016-04-21T04:00:00.000Z;34.09212728600964
Fee per byte;2016-04-22T02:40:00.000Z;39.05016555739388
Fee per byte;2016-04-23T01:20:00.000Z;37.70938758796987
Fee per byte;2016-04-24T00:00:00.000Z;33.29651365924058
Fee per byte;2016-04-24T22:40:00.000Z;36.24826956544922
Fee per byte;2016-04-25T21:20:00.000Z;266.394486862289
Fee per byte;2016-04-26T20:00:00.000Z;39.01332332848151
Fee per byte;2016-04-27T18:40:00.000Z;40.206900729786135
Fee per byte;2016-04-28T17:20:00.000Z;36.72742241501534
Fee per byte;2016-04-29T16:00:00.000Z;38.70626970377266
Fee per byte;2016-04-30T14:40:00.000Z;36.61725549104239
Fee per byte;2016-05-01T13:20:00.000Z;36.36815880918567
Fee per byte;2016-05-02T12:00:00.000Z;38.990431570671554
Fee per byte;2016-05-03T10:40:00.000Z;40.4695712612823
Fee per byte;2016-05-04T09:20:00.000Z;39.874970171676
Fee per byte;2016-05-05T08:00:00.000Z;41.09216122502941
Fee per byte;2016-05-06T06:40:00.000Z;39.68715167847875
Fee per byte;2016-05-07T05:20:00.000Z;39.79169441173558
Fee per byte;2016-05-08T04:00:00.000Z;36.505636069764485
Fee per byte;2016-05-09T02:40:00.000Z;37.522383950601395
Fee per byte;2016-05-10T01:20:00.000Z;40.72772268438617
Fee per byte;2016-05-11T00:00:00.000Z;42.7434350536573
Fee per byte;2016-05-11T22:40:00.000Z;41.8604640961541
Fee per byte;2016-05-12T21:20:00.000Z;41.33817953858458
Fee per byte;2016-05-13T20:00:00.000Z;40.115489068092494
Fee per byte;2016-05-14T18:40:00.000Z;39.70954664449028
Fee per byte;2016-05-15T17:20:00.000Z;44.17795047812883
Fee per byte;2016-05-16T16:00:00.000Z;47.17630172207165
Fee per byte;2016-05-17T14:40:00.000Z;46.92540118257697
Fee per byte;2016-05-18T13:20:00.000Z;45.48225459818531
Fee per byte;2016-05-19T12:00:00.000Z;47.01043063882863
Fee per byte;2016-05-20T10:40:00.000Z;51.8369946321934
Fee per byte;2016-05-21T09:20:00.000Z;42.72373490163101
Fee per byte;2016-05-22T08:00:00.000Z;43.94486532368034
Fee per byte;2016-05-23T06:40:00.000Z;48.778804122840654
Fee per byte;2016-05-24T05:20:00.000Z;49.100260553306285
Fee per byte;2016-05-25T04:00:00.000Z;50.595527597867324
Fee per byte;2016-05-26T02:40:00.000Z;49.19501676204278
Fee per byte;2016-05-27T01:20:00.000Z;54.456334796834575
Fee per byte;2016-05-28T00:00:00.000Z;50.09699001956662
Fee per byte;2016-05-28T22:40:00.000Z;47.43319489501966
Fee per byte;2016-05-29T21:20:00.000Z;45.67946136714011
Fee per byte;2016-05-30T20:00:00.000Z;47.01887218252497
Fee per byte;2016-05-31T18:40:00.000Z;49.38804137879169
Fee per byte;2016-06-01T17:20:00.000Z;48.60844306651377
Fee per byte;2016-06-02T16:00:00.000Z;49.84246272306534
Fee per byte;2016-06-03T14:40:00.000Z;46.92318939981474
Fee per byte;2016-06-04T13:20:00.000Z;47.793045031961874
Fee per byte;2016-06-05T12:00:00.000Z;44.96321661456915
Fee per byte;2016-06-06T10:40:00.000Z;45.75027426619335
Fee per byte;2016-06-07T09:20:00.000Z;48.55741512639911
Fee per byte;2016-06-08T08:00:00.000Z;47.537036626553
Fee per byte;2016-06-09T06:40:00.000Z;47.118673215630494
Fee per byte;2016-06-10T05:20:00.000Z;46.807819756362754
Fee per byte;2016-06-11T04:00:00.000Z;43.360047166899186
Fee per byte;2016-06-12T02:40:00.000Z;44.60112429372825
Fee per byte;2016-06-13T01:20:00.000Z;41.584584489719134
Fee per byte;2016-06-14T00:00:00.000Z;50.64178185784441
Fee per byte;2016-06-14T22:40:00.000Z;58.78323249183368
Fee per byte;2016-06-15T21:20:00.000Z;56.10793622323155
Fee per byte;2016-06-16T20:00:00.000Z;55.47621105073637
Fee per byte;2016-06-17T18:40:00.000Z;56.2599089717988
Fee per byte;2016-06-18T17:20:00.000Z;55.50355827046252
Fee per byte;2016-06-19T16:00:00.000Z;60.474122664725975
Fee per byte;2016-06-20T14:40:00.000Z;57.92762844317214
Fee per byte;2016-06-21T13:20:00.000Z;59.37192623334871
Fee per byte;2016-06-22T12:00:00.000Z;61.91120818809732
Fee per byte;2016-06-23T10:40:00.000Z;60.047555644741806
Fee per byte;2016-06-24T09:20:00.000Z;58.41979140474623
Fee per byte;2016-06-25T08:00:00.000Z;56.26609992121896
Fee per byte;2016-06-26T06:40:00.000Z;53.40075091567731
Fee per byte;2016-06-27T05:20:00.000Z;59.270652992044106
Fee per byte;2016-06-28T04:00:00.000Z;54.18548726556767
Fee per byte;2016-06-29T02:40:00.000Z;54.3868202473984
Fee per byte;2016-06-30T01:20:00.000Z;52.71979647525944
Fee per byte;2016-07-01T00:00:00.000Z;52.902784860750245
Fee per byte;2016-07-01T22:40:00.000Z;56.01531429949797
Fee per byte;2016-07-02T21:20:00.000Z;53.940885178469934
Fee per byte;2016-07-03T20:00:00.000Z;52.33517528846592
Fee per byte;2016-07-04T18:40:00.000Z;54.845558397199355
Fee per byte;2016-07-05T17:20:00.000Z;53.89034500957729
Fee per byte;2016-07-06T16:00:00.000Z;52.14436973874773
Fee per byte;2016-07-07T14:40:00.000Z;53.66306974837748
Fee per byte;2016-07-08T13:20:00.000Z;55.82448411258234
Fee per byte;2016-07-09T12:00:00.000Z;52.04622656029805
Fee per byte;2016-07-10T10:40:00.000Z;48.24000892836973
Fee per byte;2016-07-11T09:20:00.000Z;51.40239241832348
Fee per byte;2016-07-12T08:00:00.000Z;49.56902402308663
Fee per byte;2016-07-13T06:40:00.000Z;52.290765761341696
Fee per byte;2016-07-14T05:20:00.000Z;54.44363249336169
Fee per byte;2016-07-15T04:00:00.000Z;53.08658547200667
Fee per byte;2016-07-16T02:40:00.000Z;51.258610346193954
Fee per byte;2016-07-17T01:20:00.000Z;49.59235113878679
Fee per byte;2016-07-18T00:00:00.000Z;51.466526673675446
Fee per byte;2016-07-18T22:40:00.000Z;54.84984359657638
Fee per byte;2016-07-19T21:20:00.000Z;55.4766782808044
Fee per byte;2016-07-20T20:00:00.000Z;56.95472126337866
Fee per byte;2016-07-21T18:40:00.000Z;57.44364233813952
Fee per byte;2016-07-22T17:20:00.000Z;59.77883751184333
Fee per byte;2016-07-23T16:00:00.000Z;53.403832025221426
Fee per byte;2016-07-24T14:40:00.000Z;44.72122165265289
Fee per byte;2016-07-25T13:20:00.000Z;62.03510822207876
